序號,統一立案編號,類別,名稱,營業地址,保單到期日,Longitude,Latitude
747,53221376,公司,豆腐村有限公司,臺北市中正區忠孝西路1段66號2樓,115/09/16,121.515302,25.046226
748,90049428,公司,明煬四方有限公司,臺北市北投區東華街1段360號、362號1樓,115/09/16,121.519284,25.10965
749,90115643,公司,錒鍅當代美食股份有限公司,臺北市大安區忠孝東路3段282號4樓,115/09/16,121.542666,25.041432
750,29061048,公司,食祿軒餐廳股份有限公司,臺北市松山區慶城街1號、1號2至5樓及1之2號整棟,115/09/17,121.544632,25.052761
751,93522102,公司,尚碩生活科技股份有限公司,臺北市內湖區洲子街74號1樓,115/09/18,121.571785,25.079324
752,28582631,公司,台灣惠蓀咖啡有限公司,臺北市北投區學園路1號,115/09/18,121.466368,25.130085
753,94018995,公司,雙月好湯股份有限公司,臺北市北投區溫泉路73巷5號地下2樓,115/09/19,121.5057,25.135815
754,13138865,公司,金梅子餐廳有限公司,臺北市中山區南京東路2段206號B1,115/09/20,121.535844,25.051819
755,53928128,公司,首侖創意有限公司,臺北市大同區迪化街一段329號,115/09/20,121.509319,25.062524
756,90596656,公司,大輪食驛有限公司,臺北市信義區松壽路11號3樓,115/09/20,121.56728,25.036072
757,83683249,公司,淺深投資股份有限公司,臺北市中山區新生北路1段66號1樓,115/09/20,121.530403,25.047031
758,54186904,公司,銅花涮涮火鍋店有限公司,臺北市松山區光復北路208號1樓,115/09/20,121.555584,25.055256
759,60560847,公司,星雲空間有限公司,臺北市信義區松仁路89之2號及91號,115/09/20,121.568892,25.03694
760,70584442,公司,春天素食餐廳股份有限公司,臺北市大安區和平東路一段177號3樓,115/09/21,121.532172,25.026496
761,52801642,公司,善菓餐飲國際股份有限公司,臺北市大同區承德路一段1號3樓,115/09/22,121.516784,25.04909
762,52801642,公司,善菓餐飲國際股份有限公司,臺北市信義區松仁路58號B3,115/09/22,121.567967,25.036732
763,42861016,公司,禾涎股份有限公司,臺北市中山區民生東路2段1號,115/09/22,121.527936,25.058174
764,42826026,公司,好膳企業股份有限公司,台北市內湖區瑞光路513巷22弄11及13號1樓,115/09/22,121.568811,25.080055
765,53114994,公司,金登龍有限公司,臺北市中正區羅斯福路一段1之2號1樓至5樓,115/09/23,121.517425,25.034248
766,52709758,公司,金富佳有限公司,臺北市士林區劍潭路12號1樓,115/09/23,121.524054,25.083905
767,85112765,公司,牛若面國際股份有限公司,臺北市大安區敦化南路1段190巷24號,115/09/23,121.547376,25.042525
768,22662833,公司,優味企業股份有限公司,臺北市中正區忠孝西路1段49號B1,115/09/23,121.517242,25.046481
769,50907866,公司,力厚餐飲股份有限公司,臺北市內湖區瑞光路333號1樓,115/09/24,121.57443,25.077024
770,24794780,公司,香港商莫爾頓有限公司,臺北市信義區忠孝東路5段68號45樓,115/09/24,121.566694,25.040648
771,83587935,公司,興波事業有限公司,臺北市中正區忠孝東路2段25、27號,115/09/24,121.531934,25.041642
772,89595460,公司,七海餐飲事業股份有限公司,臺北市內湖區成功路四段166號2樓,115/09/25,121.593301,25.083048
773,55841908,公司,台灣松屋餐飲股份有限公司,臺北市萬華區漢中街157號1樓,115/09/25,121.507135,25.041529
774,55841908,公司,台灣松屋餐飲股份有限公司,臺北市士林區福華路120號1樓,115/09/25,121.522948,25.10254
775,54669129,公司,亞洲藏壽司股份有限公司,臺北市大同區南京西路57號2樓,115/09/25,121.519354,25.053083
776,93522118,公司,創夜晚來了股份有限公司,臺北市信義區松壽路12號1樓+B2(及戶外座位區),115/09/25,121.566021,25.035668
777,55841908,公司,台灣松屋餐飲股份有限公司,臺北市中正區信陽街2之1號1樓,115/09/25,121.516684,25.044595
778,55841908,公司,台灣松屋餐飲股份有限公司,臺北市中山區民權西路34之1號1樓,115/09/25,121.521424,25.062584
779,55841908,公司,台灣松屋餐飲股份有限公司,臺北市士林區中正路208號1樓,115/09/25,121.526608,25.095638
780,12978192,公司,利誠餐飲有限公司,臺北市內湖區民權東路6段469號、471號,115/09/25,121.604791,25.072336
781,83540453,公司,睿軒松仁股份有限公司,臺北市中正區北平西路3號2樓5號櫃,115/09/25,121.517058,25.047176
