年度,被申訴人,申訴人,協商日,爭議內容
109,伊黎瑪雅有限公司,劉○○,1090506,退費等消費爭議
109,山富國際旅行社股份有限公司,沈○○,1090506,國外旅遊服務爭議
109,裕富數位資融股份有限公司,尹○○,1090506,瘦身美容服務消費爭議
109,台灣拓達斯廣告有限公司,陳○○,1090505,線上購物爭議
109,富胖達股份有限公司,左○○,1090430,美食外送爭議
109,中華電信股份有限公司,陳○○,1090429,手機維修爭議
109,艾克斯運動有限公司,林○○,1090428,健身教練課程爭議
109,奧迪福斯汽車股份有限公司,郭○○,1090428,汽車消費爭議
109,遠智創新股份有限公司,劉○○,1090427,網路募資退費消費爭議
109,樂購蝦皮股份有限公司,劉○○,1090424,網路購物消費爭議
109,雅虎賣家帳號:Y1257075990,廖○○,1090423,網路購物消費爭議
109,樂購蝦皮股份有限公司,李○○,1090423,會員帳戶凍結爭議
109,Google LLC,林○○,1090422,退費爭議
109,樂購蝦皮股份有限公司、蝦皮帳號：@she15975324,陳○○,1090422,網路購物消費爭議
109,雅虎賣家帳號：Y5723338957,高○○,1090422,網路購物消費爭議
109,興國旅行社股份有限公司,尤○○,1090420,國外旅遊消費爭議
109,綠水茵股份有限公司,黃○○,1090420,瘦身美容服務消費爭議
109,台灣虎航股份有限公司,馬○○,1090416,機票改退公告爭議
109,裕富數位資融股份有限公司,李○○,1090415,瘦身美容服務消費爭議
109,蜜達絲生技有限公司,李○○,1090415,瘦身美容服務消費爭議
109,宗信國際行銷有限公司,嚴○○,1090415,債務協商服務消費爭議
109,珍艾碧絲有限公司,吳○○,1090414,線上遊戲爭議
109,勝固工程行,胡○○,1090413,房屋修繕爭議
109,SUM優質車商好事多汽車,謝○○,1090410,中古車烤漆瑕疵維修爭議
109,韋嘉實業有限公司、芸妮有限公司,廖○○,1090410,訪問交易解除契約退費爭議
109,瑞士商斯沃琪瑞表遠東股份有限公司,管○○,1090409,手錶維修爭議
109,山富國際旅行社股份有限公司,鄒○○,1090408,國外旅遊消費爭議
109,橋星廣告製作有限公司,柯○○,1090408,退還訂金爭議
109,青希企業社,許○○,1090408,網購退貨爭議
109,樂購蝦皮股份有限公司,陳○○,1090408,網路購物帳號停權爭議
109,台灣虎航股份有限公司,周○○,1090408,航空機票退票爭議
109,華義國際數位娛樂股份有限公司,沈○○,1090408,網路連線遊戲消費爭議
109,佳德糕餅有限公司,張○○,1090407,商品買賣溢收費用爭議
109,美學主義美妍中心,陳○○,1090406,美容保養課程
109,東隆五金工業股份有限公司,邱○○,1090401,網路購物消費爭議
