NAME,COMNUM,ADDR,OWNER,ADDR_X,ADDR_Y
昊潤工程有限公司,北市水證甲字第002880號,內湖路3段59巷18號,馮采彤,309702.363,2775380.103
慧榮營造股份有限公司,北市水證甲字第003045號,虎林街247號1樓,林承翰,308265,2770013
勝泉工程有限公司,北市水證甲字第002884號,金龍路47巷27號,陳志剛,309800.246,2775224.297
亞翔工程股份有限公司,北市水證甲字第000922號,內湖路1段120巷17號5樓,姚祖驤,306739.506,2774997.22
力加力科技股份有限公司,北市水證甲字第002717號,文德路239號2樓,陳石麟,308294.595,2773959.51
明泉水電工程有限公司,北市水證甲字第000139號,民權東路6段47巷18弄2號,林松吉,309220.931,2773592.317
有進工程有限公司,北市水證甲字第001912號,成功路4段70號4樓,陳明松,309706.933,2774983.934
天德工程顧問有限公司,北市水證甲字第002748號,成功路3段168號5樓,洪瑞彰,309553.886,2774819.282
中欣行股份有限公司,北市水證甲字第003059號,內湖路1段392號4樓,劉致緯,307791,2774833
達功工程有限公司,北市水證甲字第001739號,汀州路1段332號1樓,藍月治,301711.092,2768812.329
大自然環境綠邑股份有限公司,北市水證甲字第002225號,濟南路3段39-2號2樓,張定立,302735.167,2770335.714
領袖資訊股份有限公司,北市水證甲字第002762號,徐州路18巷15號,蔡婠婯,302735.167,2770335.714
達弘工程有限公司,北市水證甲字第002005號,基隆路2段48號4樓之2,李文宏,301707.675,2768813.198
眾鼎工程股份有限公司,北市水證甲字第002491號,忠孝東路1段55號4樓,奥田実,303095.475,2770790.574
達冠機電工程股份有限公司,北市水證甲字第001816號,晉江街46巷2號,洪清泉,302775.256,2768575.067
永昌工程行,北市水證甲字第002476號,和平西路2段49號,周林田,301720.987,2769085.131
誼泰水電工程有限公司,北市水證甲字第001596號,金門街12巷6之1號1樓,李榮周,302786.084,2768335.31
特群機電股份有限公司,北市水證甲字第002791號,忠孝東路六段21號10樓,阮春綢,303424.727,2770247.143
大松水電工程有限公司,北市水證甲字第000564號,杭州南路1段21巷24號,李青松,303224.734,2770564.928
阡淯股份有限公司,北市水證甲字第003070號,中華路2段75巷24號1樓,黃建彰,301181.054,2769587.068
士進工程股份有限公司,北市水證甲字第002990號,基隆路一段155號13樓之5,周進勛,302854.083,2767994.778
亞群工程股份有限公司,北市水證甲字第002010號,懷寧街36號6樓之6,伍麗玉,301872.706,2770849.661
富格工程股份有限公司,北市水證甲字第002705號,龍江路155巷1號3樓,高智仁,302639.362,2770756.392
岳竑科技股份有限公司,北市水證甲字第002505號,南京東路2段76號4樓,黃銘輝,303027.854,2770908.963
旭壯工程有限公司,北市水證甲字第001333號,濟南路2段62巷2之4號,游淑真,303692.077,2770309.894
榮進水電行,北市水證丙字第000003號,新生南路1段54巷11號,陳政賢,303662.35,2770464.281
泰州消防器材有限公司,北市水證甲字第002735號,重慶南路2段59號4樓,林志敏,301278.39,2769696.714
欣泓工程有限公司,北市水證丙字第000197號,西園路2段261巷20弄22號1樓,莊瑞鴻,299739,2768621
全逸工程股份有限公司,北市水證甲字第002881號,和平西路1段28號4樓,楊進輝,302541.981,2768823.795
傑儀科技有限公司,北市水證乙字第000189號,吳興街463號,顏鳳儀,307428,2768540
榮明水電工程有限公司,北市水證甲字第000020號,中山北路2段16巷21號3樓,楊以正,302565.956,2771771.773
中柱工程股份有限公司,北市水證甲字第002693號,長春路328號3樓,林國水,304570.215,2771927.206
大同股份有限公司,北市水證甲字第002906號,中山北路3段22號,張榮華,302636.35,2773019.801
新記機電股份有限公司,北市水證甲字第002946號,長安東路2段110號11樓之2,林世治,302714.868,2773194.185
通晉機電股份有限公司,北市水證甲字第002892號,南京東路5段164號12樓,李元榮,304870.3,2771778.132
恒豐工程股份有限公司,北市水證甲字第001886號,民權東路3段56號2樓之2,莊鐘英,304683.419,2772755.163
信緯機電股份有限公司,北市水證甲字第002956號,復興北路356之1號12樓,李世偉,304882.649,2772573.197
昆漢股份有限公司,北市水證丙字第000200號,武昌街2段35號,范淇甯,303034.027,2771631.075
