統一編號,公司名稱,公司地址,核准變更日期,Longitude,Latitude
146727,鴻彩興業有限公司,臺北市中正區忠孝東路1段76號12樓之1,115/04/02,121.523921,25.044467
180105,向陽萬德光電股份有限公司,臺北市大安區敦化南路2段99號12樓,115/04/02,121.549183,25.028808
245873,八達通有限公司,臺北市中山區長春路31號7樓之1、7樓之2、8樓之1、8樓之2,115/04/02,121.525633,25.055036
4472136,立業貿易股份有限公司,臺北市大同區南京西路22號8樓之1,115/04/02,121.519993,25.052578
4753380,松下產業科技股份有限公司,臺北市信義區松高路9號12樓,115/04/02,121.565073,25.039514
4828278,安城生化科技有限公司,臺北市內湖區內湖路1段91巷12弄27號2樓,115/04/02,121.563097,25.084282
7523502,福豐企業股份有限公司,臺北市大同區西寧北路116號1樓,115/04/02,121.508863,25.056236
11150808,文裕貿易有限公司,臺北市中山區八德路2段237號,115/04/02,121.540712,25.046897
11166105,弘大貿易股份有限公司,臺北市中山區中山北路2段46號7樓之4,115/04/02,121.522523,25.055548
12653785,巨匠電腦股份有限公司,臺北市中正區公園路30號6樓之1,115/04/02,121.516857,25.044481
12852454,允揚保險公證人有限公司,臺北市大安區復興南路2段8號11樓,115/04/02,121.54337,25.032862
12976167,大小點整合行銷傳播有限公司,臺北市信義區忠孝東路5段372巷28弄5號1樓,115/04/02,121.573744,25.038843
13084755,億銓科技股份有限公司,臺北市大安區辛亥路1段30號12樓之1,115/04/02,121.529898,25.019787
15044527,今日股份有限公司,臺北市萬華區峨眉街52號,115/04/02,121.505399,25.043803
16195332,耀郁股份有限公司,臺北市內湖區新明路273巷6號,115/04/02,121.586394,25.056953
16298415,松豪投資股份有限公司,臺北市中山區新生北路2段21巷2之6號1樓,115/04/02,121.528353,25.053315
16602788,萬太企業有限公司,臺北市信義區忠孝東路5段1號3樓,115/04/02,121.564858,25.041338
20756969,永磁電子股份有限公司,臺北市南港區八德路4段768巷9號3樓,115/04/02,121.58064,25.049797
22023999,上賀企業有限公司,臺北市中正區林森北路5巷12號5樓,115/04/02,121.524281,25.045114
22727548,華乙資訊股份有限公司,臺北市信義區忠孝東路5段1之7號7樓,115/04/02,121.564972,25.041595
23045057,奇唯科技股份有限公司,臺北市中正區羅斯福路2段100號18樓,115/04/02,121.522336,25.026841
23529757,三伽舍股份有限公司,臺北市大同區承德路1段17號11樓之5,115/04/02,121.517065,25.050153
23728073,豪敏有限公司,臺北市信義區和平東路3段215號6樓,115/04/02,121.55385,25.023378
23886895,高傑國際物流有限公司,臺北市內湖區新湖一路97號5樓,115/04/02,121.576271,25.058492
24301435,欣僑裝潢實業有限公司,臺北市中正區館前路59號9樓,115/04/02,121.515126,25.044768
24344027,巨光集燈飾設計有限公司,臺北市內湖區文德路22巷27弄20號地下1樓,115/04/02,121.579431,25.076295
24547487,辰亞科技股份有限公司,臺北市信義區文昌街316號5樓之7,115/04/02,121.557955,25.032108
24561065,名家國際企業股份有限公司,臺北市大安區敦化南路2段57號12樓,115/04/02,121.549193,25.0313
24577572,志合訊息股份有限公司,臺北市內湖區內湖路1段246號7樓,115/04/02,121.566295,25.082021
24745634,宇碁投資股份有限公司,臺北市中山區市民大道3段143號6樓,115/04/02,121.539286,25.044872
24973708,好運勢國際文創股份有限公司,臺北市中山區南京東路3段118號9樓,115/04/02,121.540307,25.051739
27310534,詠瀚室內裝修設計工程有限公司,臺北市士林區延平北路6段199巷1號4樓,115/04/02,121.505844,25.089244
27334613,邱正宏健康國際事業股份有限公司,臺北市中山區中山北路2段39巷6之1號2樓,115/04/02,121.523448,25.05392
27346028,哈林實業有限公司,臺北市大安區臨江街62號1樓,115/04/02,121.555826,25.029737
27715459,和平工廠室內裝修股份有限公司,臺北市松山區南京東路5段198號4樓之2,115/04/02,121.564172,25.051203
27719758,美創光科技股份有限公司,臺北市大安區仁愛路4段137號7樓之1,115/04/02,121.550838,25.038105
27841391,銓億環科實業有限公司,臺北市內湖區成功路3段89號5樓,115/04/02,121.589825,25.078495
27971529,青松木業有限公司,臺北市松山區寶清街22之1號1樓,115/04/02,121.568378,25.051003
28389690,晁德實業有限公司,臺北市信義區基隆路2段7號4樓,115/04/02,121.559398,25.032416
28424583,統康生活事業股份有限公司輔大分公司,新北市新莊區後港一路122號、124號、126號,115/04/02,121.429083,25.027166
28453762,台灣諾基亞通信股份有限公司,臺北市松山區民生東路3段100號9樓,115/04/02,121.544501,25.057506
28659841,胤福股份有限公司,臺北市北投區裕民六路2號9樓,115/04/02,121.517167,25.113458
29042839,鼎原科技股份有限公司,臺北市內湖區安康路20號3樓之1,115/04/02,121.593028,25.061779
31259518,鼎泰實業股份有限公司,臺北市大安區忠孝東路4段181巷7弄9號3樓,115/04/02,121.55119,25.04219
42636813,登遠國際有限公司,臺北市中山區松江路31號5樓之1,115/04/02,121.533156,25.047404
42824195,茗躍國際股份有限公司,臺北市內湖區行愛路77巷57號2樓,115/04/02,121.582679,25.063359
